feature,importance
avg_forward_delay_seconds,0.2093107392830395
in_degree_7d,0.11970154845309706
inbound_count_7d,0.11549770244215007
inbound_unique_senders_7d,0.11433307604355336
pagerank_7d,0.08510439005441016
outbound_count_7d,0.07056187061727925
out_degree_7d,0.07043068304471455
outbound_unique_receivers_7d,0.06283554336328523
count_in_out_ratio_7d,0.05638514980082245
pct_forwarded_7d,0.022661105281028417
outbound_sum_7d,0.014182401877787377
inbound_sum_7d,0.013923608537711078
inbound_unique_senders_24h,0.011085088116652375
inbound_count_24h,0.010274796747002785
outbound_count_24h,0.009004814404816914
outbound_unique_receivers_24h,0.0043878054757067455
burstiness_24h_vs_7d,0.004237018404430079
inbound_sum_24h,0.0032979980189172292
outbound_sum_24h,0.00278466003359545
many_inbound_senders_24h_flag,0.0
